stability
stable
strict
balanced
discipline
conditional
restraint
consolidation
prudent
rules
brake
SGP
rigorous
surveillance
monitor
government_debt
responsible
responsibility
sound
unsustainable
pact
excessive
governance
competitiveness 
supervision
enforcement
balances*
balance*
stricter*
